6.71181e+9, 2.86075e+1
6.06792e+9, 3.48005e+1
4.87242e+9, 3.24070e+1
5.38928e+9, 2.61695e+1
6.28309e+9, 6.37738e+1
6.83714e+9, 6.97151e+1
6.28576e+9, 8.03938e+1
7.19533e+9, 8.94631e+1
3.63375e+9, 9.02636e+1
1.83677e+9, 1.49974e+2
1.99920e+9, 1.85720e+2
2.75459e+9, 1.87382e+2
3.26048e+9, 1.79219e+2
4.19938e+9, 1.82441e+2
3.98474e+9, 6.60870e+1
2.84469e+9, 8.03938e+1
2.13610e+9, 9.43746e+1
1.52490e+9, 1.12778e+2
1.18423e+9, 1.25501e+2
9.83899e+8, 1.42169e+2
5.30709e+9, 5.93874e+1
6.28084e+9, 5.24247e+1
7.30962e+9, 4.88189e+1
