100.04158489369311, 343750294.09991753
111.0945005391878, 323362931.6275175
106.53339211632162, 330865368.44260603
119.13441488594513, 311235004.4254101
125.98329896634593, 301860994.02113783
133.22591657195568, 292769317.12630486
140.88490293605543, 283951470.2075102
148.98419456233592, 275399205.8471845
159.76249766429504, 263063496.99035847
168.94313561984126, 253208834.38651633
181.16955846943137, 243712080.08968335
191.58476306033344, 236371776.00459212
202.59872434958328, 229252552.72945315
211.26788297667488, 222358023.36265516
220.3130818705003, 217316011.7781285
232.97321595136438, 209175102.8379401
246.36654609376401, 202875009.46014816
260.52984153698503, 196764667.04234415
271.68413627064797, 192302989.80826035
285.3057792589751, 187938140.94678113
295.4390238599474, 182290309.53238338
